対象県（富山/石川/福井）	アンケート回答日	居住都道府県	性別	年代	職業	世帯年収	同伴者	満足度（旅行全体）	満足度理由	おすすめ度	回答場所
福井	2025/4/3 11:15	福井県	女	50代		100万円未満	夫婦2人	4		8	道の駅「若狭おばま」 エリア
福井	2025/4/3 11:04	愛知県	男	60代		300万円以上 400万円未満	自分ひとり	4	職員の方が親切	8	一乗谷朝倉氏遺跡 エリア
福井	2025/4/3 10:38	愛知県	女	40代		400万円以上 500万円未満	小学生以下連れの家族	5	宿泊させていただいた、グランティア芳泉の部屋、料理、サービス、スタッフの方の対応がどれも素晴らしく楽しく過ごすことができた為。あると助かるなと思ったことは、歯ブラシが何本もある為、誰のものか分からなくなることがあるので、マジックやシールなど目印になるものが部屋にもあると便利かなと思いました。	10	あわら湯のまち エリア
福井	2025/4/3 10:29	石川県	女	30代		400万円以上 500万円未満	小学生以下連れの家族	5		10	かつやま恐竜の森 エリア
福井	2025/4/3 9:43	大阪府	女	10代		900万円以上 1,000万円未満	親	5		8	あわら湯のまち エリア
福井	2025/4/3 9:32	福井県	男	60代		300万円以上 400万円未満	夫婦2人	4		9	道の駅「越前」 エリア
福井	2025/4/3 9:25	愛知県	男	40代		1,000万円以上 1,200万円未満	中学生以上連れの家族	4		9	小浜市 阿納 エリア
福井	2025/4/3 8:54	石川県	男	70代		500万円以上 600万円未満	夫婦2人	5		10	あわら湯のまち エリア
福井	2025/4/3 8:42	石川県	女	50代		100万円未満	自分ひとり	4	綺麗で、様々な方が楽しめる工夫がされていて、また来たいと思う場所になっているから	10	福井駅前 エリア
福井	2025/4/3 6:52	福井県	男	30代		1,500万円以上	自分ひとり	4		7	JR美浜駅 エリア
福井	2025/4/3 3:12	兵庫県	男	30代		700万円以上 800万円未満	小学生以下連れの家族	3		5	道の駅「三方五湖」  エリア
福井	2025/4/4 22:32	東京都	女	60代		1,500万円以上	夫婦2人	5	受付や案内のスタッフさんが皆さん大変感じよく、施設もきれいで、感心しました。	10	三国湊 エリア
福井	2025/4/4 22:23	愛知県	男	40代		500万円以上 600万円未満	自分ひとり	5		10	道の駅「南えちぜん山海里」 エリア
福井	2025/4/4 20:48	奈良県	女	40代		600万円以上 700万円未満	小学生以下連れの家族	4	子供がのびのび遊べるエリアがある	9	道の駅「南えちぜん山海里」 エリア
福井	2025/4/4 18:53	愛媛県	男	50代		100万円未満	自分ひとり	4		5	まちの市場 こってコテいけだ エリア
福井	2025/4/4 17:57	京都府	女	60代		200万円以上 300万円未満	親	5	丁寧で細やかな対応の素晴らしさに、温泉宿に不慣れな我が家は驚きました。	7	あわら湯のまち エリア
福井	2025/4/4 17:30	京都府	男	30代		500万円以上 600万円未満	小学生以下連れの家族	5		10	あわら湯のまち エリア
福井	2025/4/4 17:04	石川県	女	50代		500万円以上 600万円未満	自分ひとり	4	混みすぎず寂しすぎ	7	北ノ庄 エリア
福井	2025/4/4 17:03	奈良県	男	30代		500万円以上 600万円未満	小学生以下連れの家族	5		10	道の駅「南えちぜん山海里」 エリア
福井	2025/4/4 17:00	石川県	女	50代		400万円以上 500万円未満	恋人	3		7	あわら湯のまち エリア
福井	2025/4/4 16:13	広島県	女	50代		800万円以上 900万円未満	自分ひとり	5	とても綺麗とは言えませんが、トイレの清掃中にも関わらず、気持ちよく使わせてもらいました。	10	名田庄 エリア
福井	2025/4/4 16:04	福井県	無回答	30代		分からない/無回答	自分ひとり	1	新しい新幹線駅しかない	1	JR芦原温泉駅 エリア
福井	2025/4/4 16:02	福井県	無回答	30代		分からない/無回答	自分ひとり	3		5	北潟湖 エリア
福井	2025/4/4 16:01	福井県	無回答	30代		分からない/無回答	自分ひとり	3		5	道の駅みくに ふれあいパーク三里浜 エリア
福井	2025/4/4 15:59	福井県	無回答	30代		分からない/無回答	自分ひとり	3		1	花の駅 ゆりの里公園 エリア
福井	2025/4/4 15:56	愛知県	女	40代		400万円以上 500万円未満	小学生以下連れの家族	5		7	道の駅「若狭おばま」 エリア
福井	2025/4/4 15:41	神奈川県	女	60代		100万円未満	夫婦2人	5	越前大仏凄かった	10	越前大仏 エリア
福井	2025/4/4 15:10	京都府	男	40代		400万円以上 500万円未満	夫婦2人	4	新しい道の駅なので設備がキレイです。	8	道の駅「若狭おばま」 エリア
福井	2025/4/4 15:03	東京都	女	50代		分からない/無回答	自分ひとり	4		10	丸岡城 エリア
福井	2025/4/4 14:45	石川県	女	20代		100万円以上 200万円未満	職場の同僚	4		8	うるしの里 エリア
福井	2025/4/4 13:25	神奈川県	女	60代		100万円未満	夫婦2人	4		8	道の駅「若狭おばま」 エリア
福井	2025/4/4 12:47	石川県	男	50代		800万円以上 900万円未満	自分ひとり	5		7	ふくい鮮いちば エリア
福井	2025/4/4 12:28	大阪府	女	40代		1,000万円以上 1,200万円未満	小学生以下連れの家族	4		9	かつやま恐竜の森 エリア
福井	2025/4/4 12:18	大阪府	男	40代		1,000万円以上 1,200万円未満	小学生以下連れの家族	4		8	かつやま恐竜の森 エリア
福井	2025/4/4 10:31	大阪府	女	40代		100万円未満	中学生以上連れの家族	5	旅館のご飯が美味しかった！	9	あわら湯のまち エリア
福井	2025/4/4 9:57	福井県	男	20代		500万円以上 600万円未満	恋人	5	料理も美味しくて店の雰囲気もとてもよくてとても落ち着く空間だったから。	10	越前そばの里 エリア
福井	2025/4/4 9:43	大阪府	男	60代		100万円未満	夫婦2人	4		2	あわら湯のまち エリア
福井	2025/4/4 7:00	京都府	男	30代		500万円以上 600万円未満	小学生以下連れの家族	5	バイキングの質の良さには非常に満足しています。ラウンジの飲み物の提供と温泉卵を作れる事、卓球で遊べたりと子どもも楽しめて喜んでくれるのでありがたいです。	10	あわら湯のまち エリア
福井	2025/4/4 6:48	茨城県	女	60代		300万円以上 400万円未満	自分ひとり	4	お店や寺社の人がフレンドリーだから	7	明通寺 エリア
福井	2025/4/5 23:29	愛知県	男	40代		500万円以上 600万円未満	自分ひとり	5		10	一乗谷朝倉氏遺跡 エリア
福井	2025/4/5 23:28	愛知県	男	40代		500万円以上 600万円未満	自分ひとり	5		10	北ノ庄 エリア
福井	2025/4/5 23:27	愛知県	男	40代		500万円以上 600万円未満	自分ひとり	5		10	福井駅前 エリア
福井	2025/4/5 23:26	愛知県	男	40代		500万円以上 600万円未満	自分ひとり	5		10	名勝 養浩館庭園 エリア
福井	2025/4/5 23:17	岐阜県	男	50代		200万円以上 300万円未満	夫婦2人	5		10	道の駅「南えちぜん山海里」 エリア
福井	2025/4/5 22:46	東京都	男	30代		1,000万円以上 1,200万円未満	夫婦2人	5		10	福井駅前 エリア（宿泊施設）
福井	2025/4/5 22:43	東京都	女	30代		800万円以上 900万円未満	夫婦2人	5		10	福井駅前 エリア（宿泊施設）
福井	2025/4/5 22:03	京都府	女	40代		700万円以上 800万円未満	自分ひとり	3		8	小浜 エリア（宿泊施設）
福井	2025/4/5 21:44	富山県	女	40代		分からない/無回答	夫婦2人	4	施設が綺麗で見やすく良かった	6	一乗谷朝倉氏遺跡 エリア
福井	2025/4/5 21:25	大阪府	女	20代		分からない/無回答	その他家族	4	強いて言えば、大野城麓の神社が栄えていたら嬉しい。	5	越前大野城・城下町 エリア
福井	2025/4/5 21:15	滋賀県	女	60代		分からない/無回答	夫婦2人	3	もう少しお土産などの品が多くインパクトあるものが欲しいなと思ったので	5	道の駅「三方五湖」  エリア
福井	2025/4/5 20:50	新潟県	男	60代		500万円以上 600万円未満	夫婦2人	5		10	あわら湯のまち エリア
福井	2025/4/5 19:25	愛知県	男	40代		1,500万円以上	夫婦2人	5		9	北潟湖 エリア
福井	2025/4/5 19:13	福井県	男	40代		500万円以上 600万円未満	中学生以上連れの家族	4		10	あわら湯のまち エリア
福井	2025/4/5 19:06	大阪府	男	20代		分からない/無回答	友人	4		7	JR九頭竜湖駅 エリア
福井	2025/4/5 19:05	大阪府	男	20代		分からない/無回答	友人	5		9	道の駅「越前おおの荒島の郷」 エリア
福井	2025/4/5 19:02	愛知県	女	60代		100万円未満	夫婦2人	5		8	かずら橋 エリア
福井	2025/4/5 18:55	岐阜県	無回答	60代		100万円未満	夫婦2人	3		7	道の駅「三方五湖」  エリア
福井	2025/4/5 18:43	福井県	女	40代		800万円以上 900万円未満	小学生以下連れの家族	5	自然がたくさんで、釣りや散策など大人も子供も楽しめる。食べ物もとても美味しい！	10	かずら橋 エリア
福井	2025/4/5 18:43	愛知県	男	60代		700万円以上 800万円未満	親	5	かずら橋横の蕎麦屋さんの美味しさとかずら橋の受付人の感じが良かった。	8	かずら橋 エリア
福井	2025/4/5 18:39	神奈川県	男	60代		100万円未満	自分ひとり	4		9	明通寺 エリア
福井	2025/4/5 18:39	愛媛県	男	50代		100万円未満	自分ひとり	4		5	三国湊 エリア
福井	2025/4/5 18:33	大阪府	男	20代		分からない/無回答	友人	5		9	越前大野城・城下町 エリア
福井	2025/4/5 18:31	大阪府	男	20代		分からない/無回答	友人	4		9	大本山 永平寺 エリア
福井	2025/4/5 18:17	福井県	女	60代		800万円以上 900万円未満	夫婦2人	4	城内での案内係の方が親切で感じがよかった。	4	丸岡城 エリア
福井	2025/4/5 18:06	福井県	男	50代		600万円以上 700万円未満	友人	5		10	かずら橋 エリア
福井	2025/4/5 18:05	徳島県	無回答	10代		分からない/無回答	その他家族	1		0	福井駅前 エリア（宿泊施設）
福井	2025/4/5 17:58	大阪府	女	50代		100万円以上 200万円未満	夫婦2人	5	お風呂が最高のロケーションと温質もとても良かったです	10	道の駅「越前」 エリア
福井	2025/4/5 17:58	京都府	女	50代		100万円以上 200万円未満	中学生以上連れの家族	5	子連れでも、子供がいなくても、ぶらぶら歩いて色々たのしめる。	10	だるまちゃん広場 エリア
福井	2025/4/5 17:41	滋賀県	女	40代		500万円以上 600万円未満	小学生以下連れの家族	4		6	道の駅「南えちぜん山海里」 エリア
福井	2025/4/5 17:40	愛知県	女	50代		900万円以上 1,000万円未満	中学生以上連れの家族	5	サービスが良く　接客対応も良いから	10	あわら湯のまち エリア
福井	2025/4/5 17:39	愛知県	男	50代		1,500万円以上	中学生以上連れの家族	5		10	あわら湯のまち エリア
福井	2025/4/5 17:36	東京都	男	50代		1,000万円以上 1,200万円未満	中学生以上連れの家族	5		10	福井駅前 エリア
福井	2025/4/5 17:02	神奈川県	女	20代		100万円以上 200万円未満	恋人	4		8	かつやま恐竜の森 エリア
福井	2025/4/5 16:57	大阪府	女	50代		800万円以上 900万円未満	夫婦2人	4	施設が綺麗	8	スキージャム勝山 エリア
福井	2025/4/5 16:55	長野県	女	50代		分からない/無回答	親	5	素敵なお宿でした	8	あわら湯のまち エリア
福井	2025/4/5 16:45	滋賀県	男	50代		400万円以上 500万円未満	自分ひとり	5		9	福井駅前 エリア
福井	2025/4/5 16:43	京都府	女	40代		700万円以上 800万円未満	夫婦2人	5	もう少し駐車場を増やしてほしい	8	道の駅「若狭おばま」 エリア
福井	2025/4/5 16:26	大阪府	男	50代		700万円以上 800万円未満	夫婦2人	4		8	小浜市 阿納 エリア
福井	2025/4/5 16:17	京都府	女	30代		100万円未満	親	5		8	大本山 永平寺 エリア
福井	2025/4/5 15:32	大阪府	無回答	60代		400万円以上 500万円未満	夫婦2人	4		8	道の駅「三方五湖」  エリア
福井	2025/4/5 15:30	東京都	男	50代		1,000万円以上 1,200万円未満	中学生以上連れの家族	5		9	大本山 永平寺 エリア
福井	2025/4/5 15:27	愛知県	男	50代		1,000万円以上 1,200万円未満	中学生以上連れの家族	5		8	あわら湯のまち エリア
福井	2025/4/5 15:26	滋賀県	女	40代		分からない/無回答	夫婦2人	4		8	道の駅「若狭おばま」 エリア
福井	2025/4/5 15:24	滋賀県	女	40代		500万円以上 600万円未満	小学生以下連れの家族	4		6	六呂師高原 エリア
福井	2025/4/5 15:18	愛知県	女	50代		1,500万円以上	中学生以上連れの家族	4		8	あわら湯のまち エリア
福井	2025/4/5 14:45	福井県	無回答	20代		300万円以上 400万円未満	夫婦2人	3		10	日本海さかな街 エリア
福井	2025/4/5 14:45	福井県	女	30代		400万円以上 500万円未満	恋人	5		9	日本海さかな街 エリア
福井	2025/4/5 14:42	愛知県	女	20代		分からない/無回答	恋人	4		5	かつやま恐竜の森 エリア
福井	2025/4/5 14:42	愛知県	女	20代		分からない/無回答	その他家族	5		10	かつやま恐竜の森 エリア
福井	2025/4/5 13:49	三重県	男	10代		分からない/無回答	親	5		8	かつやま恐竜の森 エリア
福井	2025/4/5 13:47	愛媛県	男	60代		700万円以上 800万円未満	夫婦2人	4		10	大本山 永平寺 エリア
福井	2025/4/5 13:38	福井県	女	40代		400万円以上 500万円未満	友人	4		5	三国湊 エリア
福井	2025/4/5 13:29	東京都	男	50代		1,000万円以上 1,200万円未満	中学生以上連れの家族	5		7	道の駅「禅の里」 エリア
福井	2025/4/5 13:27	富山県	女	40代		分からない/無回答	夫婦2人	4	丸岡城の隣にあったお土産等が売っていた新しい施設がとても良かった　丸岡城がとても綺麗だった施設で映像もみることができて勉強になりました	8	丸岡城 エリア
福井	2025/4/5 13:17	神奈川県	男	50代		400万円以上 500万円未満	夫婦2人	4		8	金ヶ崎 エリア
福井	2025/4/5 12:56	大阪府	女	20代		分からない/無回答	夫婦2人	4		10	かつやま恐竜の森 エリア
福井	2025/4/5 12:56	石川県	男	40代		1,000万円以上 1,200万円未満	小学生以下連れの家族	5		6	敦賀市立博物館 エリア
福井	2025/4/5 12:54	大阪府	男	30代		500万円以上 600万円未満	夫婦2人	5		10	かつやま恐竜の森 エリア
福井	2025/4/5 12:48	京都府	女	50代		200万円以上 300万円未満	夫婦2人	5		10	熊川宿 エリア
福井	2025/4/5 12:46	京都府	男	50代		400万円以上 500万円未満	夫婦2人	4		8	熊川宿 エリア
福井	2025/4/5 12:44	愛知県	女	50代		300万円以上 400万円未満	友人	4		10	湖上館パムコ（水月湖）エリア
福井	2025/4/5 12:21	滋賀県	女	50代		分からない/無回答	夫婦2人	4	寄りやすい所でした。	7	道の駅「若狭おばま」 エリア
福井	2025/4/5 12:13	東京都	女	40代		分からない/無回答	自分ひとり	5		8	若狭フィッシャーマンズワーフ エリア
福井	2025/4/5 12:10	滋賀県	男	60代		100万円未満	その他家族	5		10	敦賀市立博物館 エリア
福井	2025/4/5 12:09	福井県	男	40代		分からない/無回答	小学生以下連れの家族	5		9	かずら橋 エリア
福井	2025/4/5 12:04	福島県	女	40代		200万円以上 300万円未満	小学生以下連れの家族	4	きれいだった	8	道の駅「三方五湖」  エリア
福井	2025/4/5 12:03	静岡県	女	70代		100万円以上 200万円未満	その他家族	4	無料の遊具があり、園児でも十分楽しめました。	8	かつやま恐竜の森 エリア
福井	2025/4/5 12:00	東京都	男	50代		1,000万円以上 1,200万円未満	中学生以上連れの家族	5		10	かつやま恐竜の森 エリア
福井	2025/4/5 11:44	石川県	男	40代		600万円以上 700万円未満	親	4		8	丸岡城 エリア
福井	2025/4/5 11:23	福井県	女	30代		400万円以上 500万円未満	自分ひとり	3		5	神楽通り エリア
福井	2025/4/5 11:22	三重県	女	50代		500万円以上 600万円未満	夫婦2人	4		8	丸岡城 エリア
福井	2025/4/5 11:20	滋賀県	女	40代		400万円以上 500万円未満	中学生以上連れの家族	4	駐車場が広かった	6	日本海さかな街 エリア
福井	2025/4/5 11:14	京都府	男	40代		600万円以上 700万円未満	自分ひとり	4		10	名田庄 エリア
福井	2025/4/5 10:54	京都府	女	50代		600万円以上 700万円未満	夫婦2人	4		7	御食国若狭おばま食文化館 エリア
福井	2025/4/5 10:48	大阪府	男	60代		500万円以上 600万円未満	自分ひとり	5		8	JR敦賀駅前 エリア
福井	2025/4/5 10:30	京都府	女	50代		400万円以上 500万円未満	中学生以上連れの家族	5		8	北潟湖 エリア
福井	2025/4/5 10:16	富山県	男	60代		300万円以上 400万円未満	夫婦2人	5	商品の陳列も美しい	10	道の駅「南えちぜん山海里」 エリア
福井	2025/4/5 10:11	東京都	女	50代		900万円以上 1,000万円未満	夫婦2人	4		10	道の駅「南えちぜん山海里」 エリア
福井	2025/4/5 9:41	福井県	女	30代		400万円以上 500万円未満	自分ひとり	4		5	金ヶ崎 エリア
福井	2025/4/5 9:38	愛知県	男	70代		900万円以上 1,000万円未満	夫婦2人	4		3	あわら湯のまち エリア
福井	2025/4/5 9:20	兵庫県	女	30代		200万円以上 300万円未満	夫婦2人	4		6	小浜 エリア（宿泊施設）
福井	2025/4/5 9:09	福井県	女	50代		1,200万円以上 1,500万円未満	その他家族	5		10	ふくい鮮いちば エリア
福井	2025/4/5 9:05	山梨県	女	60代		分からない/無回答	団体旅行	5	初めてみるもので感激した	10	タケフナイフビレッジ エリア
福井	2025/4/5 8:35	東京都	男	60代		1,500万円以上	夫婦2人	5		9	あわら湯のまち エリア
福井	2025/4/5 7:46	滋賀県	女	40代		700万円以上 800万円未満	小学生以下連れの家族	4		8	越前和紙の里 エリア
福井	2025/4/5 7:42	福井県	男	50代		1,500万円以上	小学生以下連れの家族	5	とても綺麗でした	10	小浜市 阿納 エリア
福井	2025/4/6 23:09	愛知県	女	30代		500万円以上 600万円未満	親	3	普通の道の駅	8	道の駅「三方五湖」  エリア
福井	2025/4/6 23:06	福井県	女	40代		200万円以上 300万円未満	その他家族	4		5	花の駅 ゆりの里公園 エリア
福井	2025/4/6 22:31	富山県	女	50代		200万円以上 300万円未満	小学生以下連れの家族	4		10	道の駅「禅の里」 エリア
福井	2025/4/6 22:21	京都府	女	40代		分からない/無回答	親	5	いい雰囲気の旅館、お部屋も広く、お風呂もゆったり利用できました。フリードリンクの珈琲や紅茶も美味しかったですし、フロントの方も丁寧でした。	8	あわら湯のまち エリア
福井	2025/4/6 21:56	群馬県	女	20代		1,200万円以上 1,500万円未満	夫婦2人	5	宗教面、歴史的な面で興味深い施設が多いため。また、各所に立ち寄りやすいカフェやショップが多いため。	10	大本山 永平寺 エリア
福井	2025/4/6 21:02	兵庫県	女	60代		分からない/無回答	夫婦2人	4	55周年おめでとうございます式典の日にお邪魔しました時間が合わずレストラン、入れなかった&hellip;残念でした	8	道の駅「三方五湖」  エリア
福井	2025/4/6 20:34	福井県	女	20代		分からない/無回答	恋人	4		8	道の駅「パークイン丹生ヶ丘」 エリア
福井	2025/4/6 20:34	福井県	男	20代		900万円以上 1,000万円未満	恋人	5		8	道の駅「パークイン丹生ヶ丘」 エリア
福井	2025/4/6 19:38	京都府	男	70代		分からない/無回答	夫婦2人	5		7	メガネストリート エリア
福井	2025/4/6 19:19	大阪府	女	40代		500万円以上 600万円未満	団体旅行	5		10	あわら湯のまち エリア
福井	2025/4/6 18:19	滋賀県	男	60代		900万円以上 1,000万円未満	小学生以下連れの家族	5		10	あわら湯のまち エリア
福井	2025/4/6 18:12	石川県	女	60代		700万円以上 800万円未満	中学生以上連れの家族	4	丸岡城内に新しい施設が出来ていて楽しかった	7	丸岡城 エリア
福井	2025/4/6 17:50	東京都	男	40代		700万円以上 800万円未満	自分ひとり	4		9	大本山 永平寺 エリア
福井	2025/4/6 17:41	東京都	女	30代		300万円以上 400万円未満	夫婦2人	5	どこもお手洗いがきれいで気持ち良い。	9	福井駅前 エリア
福井	2025/4/6 17:20	東京都	男	30代		400万円以上 500万円未満	夫婦2人	5		8	福井駅前 エリア
福井	2025/4/6 17:12	大阪府	女	40代		100万円未満	恋人	5		1	劔神社 エリア
福井	2025/4/6 16:31	北海道	女	30代		1,500万円以上	職場の同僚	4	飲食店や買い物施設の多さには満足でした、美味しそうなものが多く予定外に爆買いしてしまいました	7	福井駅前 エリア（宿泊施設）
福井	2025/4/6 16:22	奈良県	女	40代		100万円以上 200万円未満	その他家族	5	雲水さんの修行されている姿を間近に見ることができたこと。	10	大本山 永平寺 エリア
福井	2025/4/6 16:05	福島県	無回答	60代		100万円未満	自分ひとり	3		7	道の駅「恐竜渓谷かつやま」 エリア
福井	2025/4/6 16:02	京都府	女	50代		700万円以上 800万円未満	中学生以上連れの家族	4	見応えがある。学びがある。	9	かつやま恐竜の森 エリア
福井	2025/4/6 16:02	大阪府	男	30代		700万円以上 800万円未満	小学生以下連れの家族	4		5	かつやま恐竜の森 エリア
福井	2025/4/6 15:59	京都府	女	20代		100万円未満	その他家族	5		9	かつやま恐竜の森 エリア
福井	2025/4/6 15:50	兵庫県	男	60代		900万円以上 1,000万円未満	夫婦2人	4	道の駅 品揃えよい	8	熊川宿 エリア
福井	2025/4/6 15:47	奈良県	女	40代		100万円以上 200万円未満	その他家族	5	小学生の甥っ子は体を動かして遊ぶことができる迷路や、遊具などがあり、喜んでいました。博物館を見て学習した後に、公園の中に恐竜たちがいるのが映画のスタジオに入ったみたいで面白かったです。写真もたくさんとり、楽しめました。	8	かつやま恐竜の森 エリア
福井	2025/4/6 15:44	福井県	女	40代		500万円以上 600万円未満	自分ひとり	4		8	一乗谷朝倉氏遺跡 エリア
福井	2025/4/6 15:41	愛知県	男	50代		800万円以上 900万円未満	小学生以下連れの家族	4		7	道の駅「南えちぜん山海里」 エリア
福井	2025/4/6 15:21	京都府	女	60代		分からない/無回答	夫婦2人	5		8	メガネストリート エリア
福井	2025/4/6 15:12	福島県	無回答	60代		100万円未満	自分ひとり	3		7	道の駅「禅の里」 エリア
福井	2025/4/6 14:58	富山県	男	40代		700万円以上 800万円未満	中学生以上連れの家族	5		8	かつやま恐竜の森 エリア
福井	2025/4/6 14:53	神奈川県	男	50代		400万円以上 500万円未満	小学生以下連れの家族	5		10	かつやま恐竜の森 エリア
福井	2025/4/6 14:52	大阪府	男	20代		100万円未満	恋人	5		9	福井駅前 エリア
福井	2025/4/6 14:52	福井県	女	50代		100万円未満	自分ひとり	5		9	あわら湯のまち エリア
福井	2025/4/6 14:49	滋賀県	男	50代		800万円以上 900万円未満	自分ひとり	3		8	熊川宿 エリア
福井	2025/4/6 14:27	滋賀県	女	30代		100万円以上 200万円未満	小学生以下連れの家族	4		8	道の駅「越前」 エリア
福井	2025/4/6 14:24	東京都	女	40代		100万円未満	自分ひとり	5		10	かつやま恐竜の森 エリア
福井	2025/4/6 14:20	神奈川県	女	40代		200万円以上 300万円未満	小学生以下連れの家族	4		8	花の駅 ゆりの里公園 エリア
